27-Sep-06 15:04 INFO 	 (GeneralActionServlet.java:63) 	  Request URI before super.process/dimsWorkSpace-dims-context-root/loginB4Action.do
27-Sep-06 15:04 INFO 	 (LoginB4Action.java:29) 	 Entering LoginB4Action***
27-Sep-06 15:04 INFO 	 (LoginB4Action.java:36) 	 Exiting LoginB4Action***
27-Sep-06 15:04 INFO 	 (GeneralActionServlet.java:65) 	  Request URI after super.process/dimsWorkSpace-dims-context-root/loginB4Action.do
27-Sep-06 15:04 INFO 	 (GeneralActionServlet.java:66) 	 Normal Execution of Process Method of GeneralActionServlet After super.process
27-Sep-06 15:04 INFO 	 (GeneralActionServlet.java:62) 	 Normal Execution of Process Method of GeneralActionServlet Before super.process
27-Sep-06 15:04 INFO 	 (GeneralActionServlet.java:63) 	  Request URI before super.process/dimsWorkSpace-dims-context-root/loginAction.do
27-Sep-06 15:04 INFO 	 (GeneralActionServlet.java:65) 	  Request URI after super.process/dimsWorkSpace-dims-context-root/loginAction.do
27-Sep-06 15:04 INFO 	 (GeneralActionServlet.java:66) 	 Normal Execution of Process Method of GeneralActionServlet After super.process
27-Sep-06 15:04 INFO 	 (GeneralActionServlet.java:62) 	 Normal Execution of Process Method of GeneralActionServlet Before super.process
27-Sep-06 15:04 INFO 	 (GeneralActionServlet.java:63) 	  Request URI before super.process/dimsWorkSpace-dims-context-root/newDepartmentB4Action.do
27-Sep-06 15:04 INFO 	 (NewDepartmentB4Action.java:25) 	 Entering NewDepartmentB4Action***
27-Sep-06 15:04 INFO 	 (NewDepartmentB4Action.java:34) 	 Exiting NewDepartmentB4Action***
27-Sep-06 15:04 ERROR 	 (GeneralActionServlet.java:70) 	 javax.servlet.ServletException: Cannot retrieve mapping for action /newDepartmentAction
27-Sep-06 15:06 INFO 	 (GeneralActionServlet.java:62) 	 Normal Execution of Process Method of GeneralActionServlet Before super.process
27-Sep-06 15:06 INFO 	 (GeneralActionServlet.java:63) 	  Request URI before super.process/dimsWorkSpace-dims-context-root/newDepartmentB4Action.do
27-Sep-06 15:06 INFO 	 (NewDepartmentB4Action.java:25) 	 Entering NewDepartmentB4Action***
27-Sep-06 15:06 INFO 	 (NewDepartmentB4Action.java:34) 	 Exiting NewDepartmentB4Action***
27-Sep-06 15:06 INFO 	 (GeneralActionServlet.java:65) 	  Request URI after super.process/dimsWorkSpace-dims-context-root/newDepartmentB4Action.do
27-Sep-06 15:06 INFO 	 (GeneralActionServlet.java:66) 	 Normal Execution of Process Method of GeneralActionServlet After super.process
27-Sep-06 15:06 INFO 	 (GeneralActionServlet.java:62) 	 Normal Execution of Process Method of GeneralActionServlet Before super.process
27-Sep-06 15:06 INFO 	 (GeneralActionServlet.java:63) 	  Request URI before super.process/dimsWorkSpace-dims-context-root/logoutAction.do
27-Sep-06 15:06 INFO 	 (LogoutAction.java:51) 	 Entering LogoutAction now...
27-Sep-06 15:06 DEBUG 	 (LogoutAction.java:56) 	 httpSession id to be invalidated is: c0a80007231c33ff3656c62841419786b7132d0627c2
27-Sep-06 15:06 DEBUG 	 (LogoutAction.java:58) 	 httpSession id  removed from Context c0a80007231c33ff3656c62841419786b7132d0627c2
27-Sep-06 15:06 INFO 	 (SessionListener.java:53) 	 Session invalidation called.
27-Sep-06 15:06 INFO 	 (SessionListener.java:54) 	 Starting Http Session cleanup.
27-Sep-06 15:06 INFO 	 (LogoutAction.java:65) 	 Exiting LogoutAction now...
27-Sep-06 15:06 INFO 	 (GeneralActionServlet.java:65) 	  Request URI after super.process/dimsWorkSpace-dims-context-root/logoutAction.do
27-Sep-06 15:06 INFO 	 (GeneralActionServlet.java:66) 	 Normal Execution of Process Method of GeneralActionServlet After super.process
27-Sep-06 16:00 INFO 	 (GeneralActionServlet.java:62) 	 Normal Execution of Process Method of GeneralActionServlet Before super.process
27-Sep-06 16:00 INFO 	 (GeneralActionServlet.java:63) 	  Request URI before super.process/dimsWorkSpace-dims-context-root/loginB4Action.do
27-Sep-06 16:00 INFO 	 (LoginB4Action.java:29) 	 Entering LoginB4Action***
27-Sep-06 16:00 INFO 	 (LoginB4Action.java:36) 	 Exiting LoginB4Action***
27-Sep-06 16:00 INFO 	 (GeneralActionServlet.java:65) 	  Request URI after super.process/dimsWorkSpace-dims-context-root/loginB4Action.do
27-Sep-06 16:00 INFO 	 (GeneralActionServlet.java:66) 	 Normal Execution of Process Method of GeneralActionServlet After super.process
27-Sep-06 16:00 INFO 	 (GeneralActionServlet.java:62) 	 Normal Execution of Process Method of GeneralActionServlet Before super.process
27-Sep-06 16:00 INFO 	 (GeneralActionServlet.java:63) 	  Request URI before super.process/dimsWorkSpace-dims-context-root/loginAction.do
27-Sep-06 16:00 INFO 	 (GeneralActionServlet.java:65) 	  Request URI after super.process/dimsWorkSpace-dims-context-root/loginAction.do
27-Sep-06 16:00 INFO 	 (GeneralActionServlet.java:66) 	 Normal Execution of Process Method of GeneralActionServlet After super.process
27-Sep-06 16:01 INFO 	 (GeneralActionServlet.java:62) 	 Normal Execution of Process Method of GeneralActionServlet Before super.process
27-Sep-06 16:01 INFO 	 (GeneralActionServlet.java:63) 	  Request URI before super.process/dimsWorkSpace-dims-context-root/newDepartmentB4Action.do
27-Sep-06 16:01 INFO 	 (NewDepartmentB4Action.java:25) 	 Entering NewDepartmentB4Action***
27-Sep-06 16:01 INFO 	 (NewDepartmentB4Action.java:34) 	 Exiting NewDepartmentB4Action***
27-Sep-06 16:01 INFO 	 (GeneralActionServlet.java:65) 	  Request URI after super.process/dimsWorkSpace-dims-context-root/newDepartmentB4Action.do
